time	observableId	measurement	simulationConditionId
120.0	Glucose_uptake__3B	200.0	figure3B__0_0__0_0
240.0	Glucose_uptake__3B	220.0	figure3B__0_0__0_0
120.0	Glucose_uptake__3B	270.0	figure3B__60_0__0_0
240.0	Glucose_uptake__3B	350.0	figure3B__60_0__0_0
0.0	IRSYp__2C	0.0	figure2C__0_0__0_0
1.0	IRSYp__2C	220.0	figure2C__0_0__0_0
1.25	IRSYp__2C	200.0	figure2C__0_0__0_0
1.4	IRSYp__2C	165.0	figure2C__0_0__0_0
2.2	IRSYp__2C	145.0	figure2C__0_0__0_0
3.3	IRSYp__2C	125.0	figure2C__0_0__0_0
5.25	IRSYp__2C	112.0	figure2C__0_0__0_0
7.2	IRSYp__2C	95.0	figure2C__0_0__0_0
10.0	IRSYp__2C	120.0	figure2C__0_0__0_0
15.0	IRSYp__2C	90.0	figure2C__0_0__0_0
0.0	PTP_activ__2D	0.16	figure2D__0_0__0_0
1.0	PTP_activ__2D	0.1	figure2D__0_0__0_0
5.0	PTP_activ__2D	0.05	figure2D__0_0__0_0
960.0	FOXO4__3C	1.0	figure3C__0_0__0_0
960.0	MnSOD_fold_induction__3C	5.0	figure3C__0_0__0_0
960.0	FOXO4__3C	1.0	figure3C__5_0__0_0
960.0	MnSOD_fold_induction__3C	8.0	figure3C__5_0__0_0
960.0	FOXO4__3C	1.0	figure3C__10_0__0_0
960.0	MnSOD_fold_induction__3C	10.5	figure3C__10_0__0_0
960.0	FOXO4__3C	0.5	figure3C__20_0__0_0
960.0	MnSOD_fold_induction__3C	3.5	figure3C__20_0__0_0
960.0	FOXO4__3C	0.3	figure3C__50_0__0_0
960.0	MnSOD_fold_induction__3C	2.0	figure3C__50_0__0_0
15.0	Glucose_uptake__2B	45.0	figure2B__0_0__1em14
15.0	PI3K_activity__2B	10.0	figure2B__0_0__1em14
15.0	Glucose_uptake__2B	45.0	figure2B__0_0__1_5em11
15.0	Cell_Bound_Ins__2B	0.0	figure2B__0_0__2em11
15.0	PI3K_activity__2B	40.0	figure2B__0_0__3_5em11
15.0	Glucose_uptake__2B	76.0	figure2B__0_0__4_5em11
15.0	Cell_Bound_Ins__2B	2.0	figure2B__0_0__5em11
15.0	Glucose_uptake__2B	114.0	figure2B__0_0__1_3em10
15.0	PI3K_activity__2B	70.0	figure2B__0_0__1_5em10
15.0	Cell_Bound_Ins__2B	5.0	figure2B__0_0__2em10
15.0	Glucose_uptake__2B	185.0	figure2B__0_0__3_1em10
15.0	Cell_Bound_Ins__2B	12.0	figure2B__0_0__4em10
15.0	PI3K_activity__2B	60.0	figure2B__0_0__5em10
15.0	Glucose_uptake__2B	201.0	figure2B__0_0__1em09
15.0	Cell_Bound_Ins__2B	28.0	figure2B__0_0__1em09
15.0	PI3K_activity__2B	150.0	figure2B__0_0__1_5em09
15.0	Cell_Bound_Ins__2B	55.0	figure2B__0_0__2em09
15.0	Glucose_uptake__2B	218.0	figure2B__0_0__3em09
15.0	PI3K_activity__2B	200.0	figure2B__0_0__5em09
15.0	Glucose_uptake__2B	230.0	figure2B__0_0__1em08
15.0	Cell_Bound_Ins__2B	97.0	figure2B__0_0__1em08
15.0	PI3K_activity__2B	440.0	figure2B__0_0__1_5em08
15.0	Glucose_uptake__2B	230.0	figure2B__0_0__3em08
15.0	Cell_Bound_Ins__2B	120.0	figure2B__0_0__3em08
15.0	PI3K_activity__2B	420.0	figure2B__0_0__5em08
15.0	Glucose_uptake__2B	225.0	figure2B__0_0__1em07
15.0	PI3K_activity__2B	515.0	figure2B__0_0__1em07
15.0	Glucose_uptake__2B	230.0	figure2B__0_0__3em07
15.0	Cell_Bound_Ins__2B	142.0	figure2B__0_0__3em07
15.0	PI3K_activity__2B	490.0	figure2B__0_0__3em07
15.0	PI3K_activity__2B	470.0	figure2B__0_0__1em06
120.0	Glucose_uptake__3B	670.0	figure3B__0_0__5_0
240.0	Glucose_uptake__3B	600.0	figure3B__0_0__5_0
120.0	Glucose_uptake__3B	360.0	figure3B__60_0__5_0
240.0	Glucose_uptake__3B	300.0	figure3B__60_0__5_0
